Filename,UnifiedQualityScore,BackgroundUniformity,IlluminationUniformity,LuminanceMean,LuminanceVariance,UnderExposurePrevention,OverExposurePrevention,DynamicRange,Sharpness,CompressionArtifacts,NaturalColour,SingleFacePresent,EyesOpen,MouthClosed,EyesVisible,MouthOcclusionPrevention,FaceOcclusionPrevention,InterEyeDistance,HeadSize,LeftwardCropOfTheFaceImage,RightwardCropOfTheFaceImage,MarginAboveOfTheFaceImage,MarginBelowOfTheFaceImage,HeadPoseYaw,HeadPosePitch,HeadPoseRoll,ExpressionNeutrality,NoHeadCoverings,UnifiedQualityScore.scalar,BackgroundUniformity.scalar,IlluminationUniformity.scalar,LuminanceMean.scalar,LuminanceVariance.scalar,UnderExposurePrevention.scalar,OverExposurePrevention.scalar,DynamicRange.scalar,Sharpness.scalar,CompressionArtifacts.scalar,NaturalColour.scalar,SingleFacePresent.scalar,EyesOpen.scalar,MouthClosed.scalar,EyesVisible.scalar,MouthOcclusionPrevention.scalar,FaceOcclusionPrevention.scalar,InterEyeDistance.scalar,HeadSize.scalar,LeftwardCropOfTheFaceImage.scalar,RightwardCropOfTheFaceImage.scalar,MarginAboveOfTheFaceImage.scalar,MarginBelowOfTheFaceImage.scalar,HeadPoseYaw.scalar,HeadPosePitch.scalar,HeadPoseRoll.scalar,ExpressionNeutrality.scalar,NoHeadCoverings.scalar,assessment_time_in_ms
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02960.png,24.713352,203.910546,0.270204,0.137965,0.00317,0.261404,0,5.810645,-13,0.987888,0,0,0.110175,0,0,0,0.005771,254.952154,0.416597,2.511792,2.519666,1.157019,1.246201,4.948203,6.895886,-0.205611,-5732.539551,0,66,24,68,22,48,100,100,73,57,100,100,100,100,97,100,100,99,100,68,100,100,8,0,99,99,100,46,100,269
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02961.png,18.345022,46.702573,0.437098,0.16401,0.014275,0.138898,0,6.305204,-40,0.998584,0,0,0.079208,0.110444,0,1,0.293087,247.12469,0.433627,2.578609,2.566465,1.101282,1.204879,1.566034,-11.652019,3.000218,-5761.924316,0,14,78,78,33,99,100,100,79,10,100,100,100,100,82,100,0,71,100,84,100,100,5,0,100,96,100,46,100,289
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02962.png,23.13744,38.802752,0.455464,0.335917,0.032686,0.099202,0.00002,7.443962,21,0.99581,0,0.114538,0.055928,0.138867,0.328283,0,0.112627,266.635569,0.493067,2.455776,2.46727,0.973314,1.056571,-11.782778,3.132643,-1.507141,-16101.61914,0,51,81,79,94,87,100,100,93,94,100,100,89,97,73,67,100,89,100,59,100,100,1,0,96,100,100,10,100,295
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02963.png,19.726425,229.231547,0.002755,0.25968,0.062972,0.35473,0,7.208302,10,0.992325,0,0,0.055998,0.006682,0.222152,0,0.096113,248.052082,0.462162,2.593547,2.614098,1.031123,1.132545,-11.237816,8.575645,-0.523954,3648.378418,0,22,19,17,77,61,100,100,90,87,100,100,100,97,96,78,100,90,100,88,100,100,2,0,96,98,100,85,100,282
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02964.png,21.929522,557.650212,0.842449,0.242759,0.018377,0.156053,0.000017,6.992696,32,0.990412,0,0,0.105983,0.003189,0,0,0.028737,254.346918,0.433119,2.536219,2.5402,1.12185,1.189568,-9.077691,11.492408,1.88113,-1858.557251,0.000166,40,1,95,70,100,100,100,87,98,100,100,100,100,96,100,100,97,100,83,100,100,6,0,98,96,100,65,100,275
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02965.png,18.522268,398.748749,0.055919,0.459296,0.019562,0.014374,0,7.035383,13,0.979739,0,0,0.013189,0.036582,0,0,0.000067,296.019838,0.351123,2.23975,2.219481,1.378638,1.473332,0.320636,3.306198,-2.386704,2766.168945,0.011862,15,4,42,99,99,100,100,88,90,100,100,100,34,94,100,100,100,100,24,100,100,45,4,100,100,100,83,95,268
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02966.png,23.521627,35.190072,0.496667,0.263313,0.026853,0.151374,0,7.274725,45,0.988586,6.908768,0,0.057809,0.146772,0.020706,0,0.044796,307.388015,0.486806,2.57457,2.554393,0.97487,1.079177,-36.27616,8.449595,0.955435,-14062.10547,0,55,83,81,78,93,100,100,91,100,100,67,100,98,71,98,100,96,100,65,100,100,1,0,65,98,100,14,100,290
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02967.png,20.355467,207.312088,0.460208,0.366712,0.045255,0.128322,0,7.578782,41,0.981051,0,0,0.064284,0.065828,0,0,0.011289,246.211684,0.386853,2.594175,2.602372,1.254615,1.330346,7.671195,20.992069,0.339948,-12520.70508,0.014375,27,23,79,97,75,100,100,95,99,100,100,100,99,90,100,100,99,100,44,100,100,19,1,98,87,100,18,93,256
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02968.png,26.309359,318.328375,0.497143,0.187648,0.011168,0.156425,0,6.43073,48,0.981782,0,0,0.087093,0.127084,0,0,0.004583,251.059257,0.407344,2.555918,2.539919,1.189107,1.265823,5.245122,11.700176,0.283688,-7498.193359,0,78,8,81,44,95,100,100,80,100,100,100,100,100,77,100,100,100,100,60,100,100,11,0,99,96,100,38,100,269
C:/Users/Eddy/Downloads/images_for_ofiq_2026/all_datasets/training/02969.png,19.455805,223.664152,0.474537,0.17882,0.006548,0.152292,0,6.359469,-15,0.990556,0,0,0.08226,0.083416,0,0,0.028237,269.869885,0.410417,2.454117,2.496563,1.1722,1.2675,16.198496,-4.566329,0.765114,-15169.11914,0.414337,20,20,80,40,77,100,100,79,53,100,100,100,100,87,100,100,97,100,62,100,100,9,0,92,99,100,12,3,279
